ortho	freqfilms2	freqlivres	nblettres
accablais	0	0.27	9
accablait	0.22	3.11	9
accablant	0.37	1.42	9
accablant	0.05	0.74	9
accablante	0.71	2.43	10
accablantes	0.29	0.81	11
accablants	0.04	0.74	10
accable	2.01	1.96	7
accablement	0.21	3.58	11
accablements	0.01	0.14	12
accablent	0.28	0.74	9
accabler	0.65	3.58	8
accableraient	0	0.14	13
accablez	0.17	0.14	8
accablions	0	0.07	10
accablât	0	0.07	8
accablèrent	0	0.2	11
accablé	0.92	4.05	7
accablé	0.39	3.58	7
accablée	0.6	2.23	8
accablée	0.03	1.08	8
accablées	0.02	0.34	9
accablées	0	0.14	9
accablés	0.47	1.22	8
accablés	0.11	0.68	8
accalmie	0.46	2.97	8
accalmies	0.04	0.74	9
accalmit	0	0.07	8
accapara	0.01	0.07	8
accaparaient	0	0.34	12
accaparait	0.01	0.74	10
accaparant	0.02	0	10
accaparant	0.03	0.2	10
accaparante	0	0.07	11
accapare	0.34	0.61	8
accaparer	0.2	0.68	9
accaparerait	0	0.07	12
accapareur	0.02	0	10
accaparez	0.02	0	9
accaparé	0.3	0.68	8
accaparée	0.06	0.34	9
accaparées	0	0.07	10
accaparés	0	0.2	9
accastillage	0.04	0.14	12
accastillages	0	0.07	13
accelerando	0	0.14	11
accent	12.98	38.31	6
accenteur	0.01	0	9
accents	1.58	7.23	7
accentua	0	1.96	8
accentuai	0	0.07	9
accentuaient	0	1.22	12
accentuais	0	0.07	10
accentuait	0.01	4.05	10
accentuant	0.03	1.76	10
accentuation	0.06	0.14	12
accentue	0.11	1.76	8
accentuent	0.07	0.54	10
accentuer	0.67	2.03	9
accentuerait	0.01	0.07	12
accentuez	0.12	0	9
accentuât	0	0.07	9
accentuèrent	0	0.2	12
accentué	0.21	0.81	8
accentué	0.01	0.81	8
accentuée	0.03	0.95	9
accentuée	0.01	0.47	9
accentuées	0.02	0.27	10
accentuées	0	0.14	10
accentués	0.01	0.34	9
accentués	0	0.14	9
accepta	0.82	10.54	7
acceptable	3.27	3.51	10
acceptables	0.7	0.88	11
acceptai	0.03	3.38	8
acceptaient	0.34	2.91	11
acceptais	0.94	3.99	9
acceptait	1.48	10	9
acceptant	0.04	0.14	9
acceptant	1.35	2.97	9
acceptassent	0	0.07	12
acceptasses	0	0.07	11
acceptation	1.24	4.19	11
acceptations	0	0.2	12
accepte	38.41	18.65	7
acceptent	4.45	3.24	9
accepter	43.39	36.62	8
acceptera	3.98	1.96	9
accepterai	2.73	1.22	10
accepteraient	0.57	0.95	13
accepterais	2.25	1.96	11
accepterait	1.54	4.05	11
accepteras	0.65	0.27	10
accepterez	0.94	0.2	10
accepteriez	2.01	0.54	11
accepterions	0.03	0.34	12
accepterons	0.31	0.14	11
accepteront	1.34	0.2	11
acceptes	6.79	1.28	8
acceptez	12.53	2.16	8
acceptiez	1	0.54	9
acception	0.15	0.27	9
acceptions	0	0.2	10
acceptions	0.21	1.35	10
acceptons	2.72	0.95	9
acceptâmes	0	0.14	10
acceptât	0.01	1.42	8
acceptèrent	0.04	0.74	11
accepté	28.46	27.16	7
acceptée	4.3	3.24	8
acceptées	0.93	0.68	9
acceptés	1.29	0.74	8
accesseurs	0	0.07	10
accessibilité	0.03	0	13
accessible	1.49	4.12	10
accessibles	0.57	1.62	11
accession	0.16	1.22	9
accessit	0.02	0.07	8
accessoire	0.12	1.01	10
accessoire	1.11	1.08	10
accessoirement	0.17	0.88	14
accessoires	0.62	1.82	11
accessoires	2.76	6.22	11
accessoirise	0.01	0	12
accessoiriser	0.07	0	13
accessoiriste	0.51	0	13
accessoiristes	0.11	0.14	14
accident	100.11	36.62	8
